BREED	COUNTRY	IDNO	CODENO	REGNAME	ACTIVE	CODENAME	DOB	SREGNAME	REL_NM	PL	REL_PL	SCS	REL_SCS	MILK	FAT_P	FAT	STATUS	TDATE	TSOURCE	TDTRS	THRDS	PTAT	TREL	UDC	FLC	BDC	DC	BLACK_PCT	LDTRS	LHRDS	STAT	STR	BD	DF	RA	THURLW	RLS	RLR	FA	FLS	FUA	RUH	RUW	UC	UD	FTP	RTP	TEATL	CEDATE	SCE	PRELIM	SCE_OBS	SCE_REL	DCE	DCE_OBS	DCE_REL	SSB_OBS	SSB_HERDS	SSB_REL	SSB_PCT	SSB_SOURCE	SSB_OFF	DSB_OBS	DSB_DTRS	DSB_HERDS	DSB_REL	DSB_PCT	DSB_SOURCE	DSB_OFF	MS	REL_MS	DIS	AAA	DMS	SCR	SERV_SCR	REL_SCR	SIRE	EVALDATE	RHAIND	HBSTATUS	SBREED	SCOUNTRY	SIDNO	DBREED	DCOUNTRY	DIDNO	MGSBREED	MGSCOUNTRY	MGSIDNO	OBREED	OCOUNTRY	OIDNO	NAABCODE2	NAABCODE3	NAABCODE4	BREED_EVAL	FTI	FUI	NM_PCTILE	PCT_US	SCE_SOURCE	DCE_SOURCE	FI	FE
HO	DEU	001265237697	714HO10007	"GP MATIP"	0	MATIP	2010-03-19	"LONG-LANGS OMAN OMAN-ET"	85	0.7	81	2.91	87	NULL	NULL	NULL	P	2016-04-05	GUSA	0	0	0.35	76	0.37	0.21	0.51	0.53	NULL	0	0	1.02	-0.09	0.05	0.62	-0.03	0.14	-0.17	-0.12	0.26	0.32	-0.62	1.46	1.34	1.04	0	0.32	0.44	0.01	2016-04-05	6.8	NULL	1222	63	6.5	NULL	60	1222	168	48	8.1	I	I	NULL	384	148	60	6.9	I	Y	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2016-04-05	"  "	"  "	HO	USA	000135746776	HO	DEU	000350427757	HO	GBR	000000598172	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	50	0	I	I	1.1	96
HO	ITA	017990915243	714HO00023	"AMIGHETTI MAGNIFICO ET TV TL"	1	MAGNIFICO	2010-10-27	"LONG-LANGS OMAN OMAN-ET"	85	3.3	81	2.81	87	NULL	NULL	NULL	P	2016-04-05	GUSA	118	82	1.53	86	1.69	1.62	0.88	0.73	NULL	118	82	1.38	0.3	0.19	0.52	0.09	0.82	-1.17	1.4	1.79	1.69	1.38	2.48	2.28	1.82	1.7	1.06	0.88	0.54	2016-04-05	6.8	NULL	785	63	6.5	NULL	55	508	150	47	8.1	I	I	NULL	102	64	45	7.1	I	Y	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2016-04-05	"I "	"  "	HO	USA	000135746776	HO	ITA	017990346074	HO	GBR	000000598172	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	57	0	I	I	3.4	52
HO	USA	000068731810	7WW10904	"SANDY-VALLEY COLT P-RED-TW"	0	"COLT P-RED"	2009-09-15	"AGGRAVATION LAWN BOY P-RED"	98	4.6	97	2.8	99	26653	3.5	945	A	2016-04-05	GUSA	2161	1095	0.29	99	1.01	0.28	-0.33	-1.8	NULL	2169	1097	0.07	-0.35	-1.4	-2.05	-0.33	-0.7	-0.29	-0.36	0.37	0.48	1.88	1.78	1.64	-1.1	1.36	-0.37	-0.93	1.27	2016-04-05	7.7	NULL	10920	99	6.5	2339	98	9961	2141	98	6.3	G	G	1938	2603	1152	98	6.2	G	Y	NULL	NULL	NULL	243	"234,246 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000133080890	HO	USA	000063114952	HO	USA	000131823833	"  "	"   "	"            "	507HO10904	7WW10904	"          "	HO	NULL	NULL	18	69	G	G	1.9	-52
AY	840	003013185216	7AY00112	"MR SHARWARDS ROCKSTAR KARL"	1	KARL	2014-03-01	"KAMOURASKA ROCKSTAR"	39	0.1	35	2.79	38	NULL	NULL	NULL	G	2016-04-05	GUSA	0	0	0.8	38	0	0	NULL	NULL	NULL	0	0	0.7	0.6	0.2	0.2	-0.3	0.5	-0.3	0	0.3	NULL	1.1	0.7	0.2	0.8	0.7	1.3	NULL	0.1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	423	NULL	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	AY	CAN	000104347733	AY	USA	000100515880	AY	CAN	000010310847	"  "	"   "	"            "	"          "	"          "	"          "	AY	NULL	NULL	80	100	NULL	NULL	NULL	NULL
JE	USA	000117347328	147JE06203	"SUNSET CANYON DECOY-ET"	0	"DECOY               "	2010-11-13	"ALL LYNNS LOUIE VALENTINO-ET"	92	5.9	83	2.87	93	22390	4.4	989	A	2016-04-05	GUSA	156	56	1.6	94	14.4	0	NULL	NULL	NULL	156	56	-0.2	-0.1	0	1.6	0.5	-0.1	0	0	0.2	NULL	1.2	2	1.6	0.3	-0.1	1.8	NULL	-1.4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	261345	135	0.4	1469	85	NULL	2016-04-05	"  "	HR	JE	USA	000116279413	JE	USA	000116341888	JE	USA	000113008443	"  "	"   "	"            "	147JE06203	"          "	"          "	JE	14.43	5.85	82	100	NULL	NULL	NULL	NULL
HO	USA	000066757501	14HO06557	"WELCOME MANOMAN GAZE-ET"	0	GAZE	2010-01-22	"LONG-LANGS OMAN OMAN-ET       "	89	-1.8	85	3.09	88	26044	3.9	1016	P	2016-04-05	GUSA	53	40	1.29	90	1.31	0.19	1.14	1	90	53	40	1.75	0.33	0.38	1.07	0.27	1.23	-0.51	-0.14	0.77	-0.02	0.82	1.72	1.58	1.95	1.44	1.84	1.81	-1.11	2016-04-05	8.6	NULL	235	88	7	127	73	223	99	76	8.1	G	G	121	82	55	74	7.9	G	Y	NULL	NULL	NULL	246	234	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000135746776	HO	USA	000063082561	HO	USA	000060372887	HO	840	003006030022	"          "	"          "	"          "	HO	NULL	NULL	17	100	G	G	-0.5	47
HO	USA	000066757503	14HO06564	"WELCOME SWAYZE-ET"	0	"SWAYZE         "	2010-01-30	"LANGS-TWIN-B CR CASSINO-ET"	89	3	85	2.81	89	27272	3.8	1047	P	2016-04-05	GUSA	21	11	0.4	85	0.57	1.56	-0.34	-0.76	90	21	11	-0.26	0.03	-0.6	-1.07	-1.43	-1.29	-0.92	1.94	1.12	1.72	1.12	0.31	0.29	0.16	1.13	0.06	-0.5	-1.53	2016-04-05	7.2	NULL	247	88	4.9	144	74	243	80	77	8	G	G	157	96	45	75	5.4	G	Y	NULL	NULL	NULL	"162   "	"345,234 "	NULL	NULL	NULL	NULL	2016-04-05	"I "	99	HO	USA	000064009082	HO	840	003002918840	HO	USA	000123586443	HO	840	003006265965	"          "	"          "	"          "	HO	NULL	NULL	21	100	G	G	0.7	-16
HO	USA	000068988032	7HO10848	"LADYS-MANOR RD GRAFEETI-ET"	1	GRAFEETI	2009-10-10	"BADGER-BLUFF FANNY FREDDIE"	97	3.2	94	2.77	98	27913	4	1106	A	2016-04-05	GUSA	336	151	1.27	97	1.64	1.4	-0.41	-0.14	85	338	151	-0.32	-0.54	-1.01	0.28	0.48	0.4	-0.41	1.89	1.05	1.54	2.6	2.02	1.86	1.53	1.42	1.83	1.74	-0.67	2016-04-05	7	NULL	12441	99	6.7	1503	96	9749	949	99	8.1	G	G	1309	1042	252	96	5.2	G	Y	NULL	NULL	NULL	432156	456,561	1.7	34650	99	NULL	2016-04-05	NA	99	HO	USA	000060996956	HO	USA	000062812291	HO	CAN	000010705608	"  "	"   "	"            "	507HO10848	"          "	"          "	HO	NULL	NULL	82	99	G	G	0.3	107
HO	USA	000068571374	7HO11703	"MR APPLES ARMANI-ET"	1	"ARMANI         "	2010-11-29	"BRAEDALE GOLDWYN"	92	2.9	85	2.8	93	26065	4.1	1074	G	2016-04-05	GUSA	167	93	2.13	94	2.15	2.44	0.5	0.88	90	167	93	1.06	-0.33	0.13	1.65	-0.35	0.32	-0.76	2.73	2.07	2.77	2.02	4.06	3.74	2.17	1.47	1.26	1.62	-0.34	2016-04-05	7.7	NULL	8362	99	5.6	219	82	7560	1840	97	10.1	G	G	206	205	77	84	8	G	Y	NULL	NULL	NULL	"234   "	"123     "	2.8	18629	99	NULL	2016-04-05	NA	**	HO	CAN	000010705608	HO	USA	000135511521	HO	USA	000128891296	"  "	"   "	"            "	7WW11703	507HO11703	"          "	HO	NULL	NULL	52	86	G	G	0.8	70
JE	USA	000067080468	507JE01067	"GR OOMSDALE TBONE GOLDA{3}-ET"	1	GOLDA	2009-03-24	"RICHIES JACE TBONE A364"	98	-1.7	97	3.21	99	23789	4.5	1068	A	2016-04-05	GUSA	1224	150	1.1	99	2.2	0	NULL	NULL	NULL	1224	150	3.1	0.8	0	1.5	4	0.4	0.5	0	0.4	NULL	-0.4	1.2	0.9	1	-0.8	1	NULL	0.6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	342516	234,123	-0.6	11760	98	NULL	2016-04-05	"  "	GR	JE	USA	000113672851	JE	USA	000067027319	JE	USA	000110896009	"  "	"   "	"            "	507JE01067	"          "	"          "	JE	0.1	-1.28	37	99	NULL	NULL	NULL	NULL
GU	USA	000068001915	14GU00305	"DIX LEE  TILLER FLASH"	0	"FLASH          "	2004-05-27	"TROTACRE LORAL TILLER-ET"	78	-1.9	66	2.91	72	17746	4.4	775	I	2016-04-05	GUSA	31	23	-0.1	77	-0.68	-0.31	NULL	NULL	NULL	31	23	0.7	1.1	2	0.4	0.1	1.2	1.2	0.1	0	NULL	-1.3	-1.4	-1.1	0.4	-0.7	-0.3	NULL	-0.4	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	162453	126	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	GU	USA	000000603341	GU	USA	000003066944	GU	USA	000000602120	"  "	"   "	"            "	"          "	"          "	"          "	GU	NULL	NULL	12	100	NULL	NULL	NULL	NULL
JE	USA	000116027632	7JE01027	"GABYS IMPULS DAVENPORT-ET"	0	"DAVENPORT      "	2008-02-02	"ISDK Q IMPULS"	92	1.6	86	3.1	92	20877	4.7	983	I	2016-04-05	GUSA	73	20	0.1	90	-1	0	NULL	NULL	NULL	73	20	-1	0	0	0.8	0.1	-0.6	-0.1	0	0.1	NULL	0	0.8	0.6	0	-0.9	0.5	NULL	-0.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	"426   "	"345,135 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	DNK	000000301592	JE	USA	000113700288	JE	USA	000112037374	"  "	"   "	"            "	507JE01027	"          "	"          "	JE	-0.69	-0.77	26	100	NULL	NULL	NULL	NULL
HO	USA	000063588161	507HO09841	"SIEMERS SHOTTLE HULK-ET"	0	HULK	2007-04-08	"PICSTON SHOTTLE-ET"	94	1.4	90	2.85	95	28135	3.4	946	A	2016-04-05	GUSA	138	67	1.79	93	1.3	1.54	1.57	1.77	5	140	67	2.45	0.4	1.32	2.69	-0.63	0.43	1.62	1.34	1.7	2.02	1.41	1.93	1.78	0.89	1.89	-1.36	-0.74	2.42	2016-04-05	8	NULL	3074	99	8.9	457	85	2088	294	94	8.4	G	G	373	223	75	84	6.1	G	Y	NULL	NULL	NULL	324165	"126,246 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	GBR	000000598172	HO	USA	000061726629	HO	USA	000123066734	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	25	100	G	G	-0.2	4
JE	USA	000117172081	14JE00564	"HOUSLEY LOTTO WINNER          "	1	"LOTTO WINNER"	2010-06-06	"MVF JEVON LOTTO-ET"	86	0	75	2.96	85	23381	4.3	1017	I	2016-04-05	GUSA	53	19	0.6	84	6.4	0	NULL	NULL	NULL	53	19	2.6	1.1	0	0.7	-0.7	0.9	0.2	0	0.5	NULL	0.2	0.6	0.5	0.5	0.8	-0.2	NULL	0.7	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	342	"234,123 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	840	003004222446	JE	USA	000114235732	JE	USA	000112986502	"  "	"   "	"            "	"          "	"          "	"          "	JE	5.37	1.81	25	100	NULL	NULL	NULL	NULL
HO	USA	000068698052	14HO06449	"KE-HOLTZ PLANET FOREST-ET"	1	REST	2009-09-09	"ENSENADA TABOO PLANET-ET"	95	4.9	91	2.92	97	27582	3.7	1023	A	2016-04-05	GUSA	158	82	0.46	94	0.34	-0.19	-0.72	-0.17	3	158	82	-0.95	-0.75	-0.83	0.39	1	0.63	1.17	0.34	-1.19	0.24	0.5	1.05	0.97	-0.42	0.33	-0.09	-0.39	-1.23	2016-04-05	4.9	NULL	3834	99	7.1	678	88	3076	271	96	6.3	G	G	494	342	98	88	10.2	G	Y	NULL	NULL	NULL	531	345	1	4226	94	NULL	2016-04-05	NA	**	HO	USA	000060597003	HO	USA	000062710239	HO	USA	000122358313	HO	840	003006030058	614HO06449	"          "	"          "	HO	NULL	NULL	64	100	G	G	1.9	71
HO	USA	000071074453	614HO07099	"BOMAZ SHAMROCK MANOR-ET"	0	"MANOR          "	2011-12-30	"LADYS-MANOR PL SHAMROCK-ET    "	81	3.8	78	2.75	78	30287	3.6	1102	P	2016-04-05	GUSA	NULL	NULL	0.76	77	1.16	0.32	-0.14	0.26	5	NULL	NULL	0.11	-0.65	-0.5	0.79	0.64	0.39	-0.47	0.11	0.15	0.46	0.98	1.44	1.32	2.18	1.18	1.77	2.24	-2.5	2016-04-05	10.2	NULL	250	88	6.5	20	67	257	82	78	8.6	G	G	21	21	14	61	6.3	G	Y	NULL	NULL	NULL	354	"123,126 "	NULL	NULL	NULL	NULL	2016-04-05	"I "	99	HO	USA	000068977120	HO	USA	000068886709	HO	USA	000135746776	HO	840	003004517589	614HO07099	"          "	"          "	HO	NULL	NULL	75	100	G	G	1.6	89
HO	USA	000062669950	7HO10585	"APPEALING PLANET HELIX-ET"	0	HELIX	2008-11-12	"ENSENADA TABOO PLANET-ET      "	91	4.2	87	2.94	90	28408	3.6	1028	A	2016-04-05	GUSA	94	66	0.27	92	0.03	-0.4	-0.32	0.66	30	94	66	-0.55	0.13	0.06	0.67	0.67	-0.88	0.91	0.11	-0.88	-0.29	-0.38	0.59	0.54	0.81	-0.34	0.14	0.58	-0.15	2016-04-05	7.1	NULL	833	95	7.8	196	77	412	127	83	8.5	G	G	155	76	59	75	8.4	G	Y	NULL	NULL	NULL	315462	345	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000060597003	HO	USA	000062669860	HO	GBR	000000598172	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	60	100	G	G	0.3	78
HO	840	003001700073	14HO05971	"JENESIS-B BOLTON KIRK-ET"	0	"KIRK           "	2007-10-20	"SANDY-VALLEY BOLTON-ET        "	90	-1.3	86	3.1	89	27742	3.6	1001	I	2016-04-05	GUSA	74	49	1.19	91	0.45	0.77	1.22	1.92	30	76	49	1.61	0.54	1.21	2.53	0.6	0.94	1.09	0.71	0.93	1	0.51	1.61	1.48	0.81	-0.18	0.09	-0.21	1.27	2016-04-05	9.9	NULL	619	94	8.3	203	77	206	73	76	8.9	G	G	139	68	48	73	9.5	G	Y	NULL	NULL	NULL	234	"246,456 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000131823833	HO	USA	000132142498	HO	USA	000002250783	"  "	"   "	"            "	"          "	"          "	"          "	HO	NULL	NULL	16	100	G	G	-0.3	43
HO	USA	000062874505	507HO10502	"TOUCHDOWN PLANET BACON-ET"	0	"BACON          "	2008-12-01	"ENSENADA TABOO PLANET-ET      "	92	3.3	88	2.8	91	28639	3.7	1052	A	2016-04-05	GUSA	96	61	0.88	92	1.01	-0.96	-0.17	0.88	65	98	61	-0.24	-0.47	-0.26	1.66	-0.54	1.1	2.16	-0.31	-1.63	-0.69	1.33	2.08	1.91	0.53	0.4	1.02	0.96	-1.74	2016-04-05	7.2	NULL	1659	97	8.1	234	79	748	157	88	7.6	G	G	222	105	63	78	7.3	G	Y	NULL	NULL	NULL	342156	135	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000060597003	HO	USA	000136800224	HO	GBR	000000598172	"  "	"   "	"            "	507HO10502	"          "	"          "	HO	NULL	NULL	64	100	G	G	-1.2	84
AY	USA	000100543021	7AY00090	"LIBBY'S LOCHINVAR"	1	LOCHINVAR	2008-08-04	"PALMYRA TRI-STAR BURDETTE-ET"	85	-0.4	73	2.98	85	20011	3.7	741	A	2016-04-05	GUSA	51	31	1.8	84	0	0	NULL	NULL	NULL	51	31	2.7	1.2	0.6	0.7	-0.6	1.7	-1.1	0	0.9	NULL	1.3	1.2	1.5	1.1	0.9	0.6	NULL	1.5	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	135	NULL	2.6	448	63	NULL	2016-04-05	"  "	HR	AY	USA	000100419568	AY	USA	000100430545	AY	CAN	000010304106	"  "	"   "	"            "	"          "	"          "	"          "	AY	NULL	NULL	47	63	NULL	NULL	NULL	NULL
HO	USA	000062190170	14HO05639	"E-LONGVIEW CM-ET"	0	CM	2006-09-14	"JEWELED-ACRES SHARKY-ET"	98	2.4	97	3.01	99	28608	3.9	1106	A	2016-04-05	GUSA	1748	717	0.51	99	0.47	-0.47	0.22	1.11	85	1749	718	0.3	0.27	0.57	1.16	-0.45	-0.8	1.22	-0.45	-0.2	-0.49	1.52	-0.96	-0.88	1.14	0.99	2.07	1.9	-1.54	2016-04-05	6.4	NULL	13284	99	8.5	3245	97	11699	1091	99	7.6	G	G	2883	2549	646	97	6.9	G	Y	NULL	NULL	NULL	243156	"456,561 "	NULL	NULL	NULL	NULL	2016-04-05	NA	**	HO	USA	000131184495	HO	USA	000134357010	HO	CAN	000006026421	HO	840	003004518118	14HO85639	14HO95639	514HO05639	HO	NULL	NULL	66	68	G	G	0.2	109
HO	USA	000069957332	14HO06816	"JNP-ATH-MOR OBS NAVY-ET"	1	NAVY	2010-11-01	"DE-SU OBSERVER-ET"	93	2.8	87	2.85	93	29513	3.7	1091	A	2016-04-05	GUSA	170	79	1.21	94	1.73	-0.64	0.68	1.16	40	170	79	0.94	0.05	0.09	1.55	2.09	1.84	0.63	-0.28	-0.64	-0.77	1.66	3.07	2.82	1.31	1.41	0.74	1.14	-0.78	2016-04-05	6.8	NULL	712	94	7.2	280	81	615	123	86	8	G	G	257	200	70	83	7.2	G	Y	NULL	NULL	NULL	342	"234,345 "	-1.9	4827	95	NULL	2016-04-05	"I "	99	HO	USA	000065917481	HO	USA	000136929002	HO	GBR	000000598172	HO	840	003006029363	614HO06816	"          "	"          "	HO	NULL	NULL	75	92	G	G	0.8	84
GU	USA	000068025119	7GU00438	"MARODORE AARONS LEVI"	1	LEVI	2008-12-03	"SNIDERS OPTION AARON-ET"	74	0.3	62	2.85	66	18031	4.5	811	A	2016-04-05	GUSA	35	27	1.1	77	0.87	0.9	NULL	NULL	NULL	35	27	-1.6	0	-1	0	-1.2	-0.4	-0.2	0.2	0.4	NULL	1.5	0.9	0.8	0.2	0.6	0.9	NULL	-0.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-1	646	71	NULL	2016-04-05	"  "	HR	GU	USA	000000604670	GU	USA	000003074843	GU	USA	000000602751	"  "	"   "	"            "	"          "	"          "	"          "	GU	NULL	NULL	41	63	NULL	NULL	NULL	NULL
JE	USA	000115705841	14JE00519	"SIL-MIST BLAIR FAITH LINCOLN-ET"	0	LINCOLN	2007-04-27	"SIL-MIST MONTANA BLAIR 3743-ET"	95	2.2	88	2.89	96	20758	4.5	944	I	2016-04-05	GUSA	204	71	0.9	94	7	0	NULL	NULL	NULL	198	74	0.1	0.7	0	0.6	1.4	0.3	0	0	0.2	NULL	0.7	1.5	1.2	0.1	-0.1	1.2	NULL	0.3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	261	"561,456 "	2	1616	86	NULL	2016-04-05	"  "	HR	JE	USA	000111142055	JE	USA	000112067085	JE	DNK	000000300003	"  "	"   "	"            "	514JE00519	614JE00519	"          "	JE	6.85	2.45	34	100	NULL	NULL	NULL	NULL
HO	840	003006989485	7HO11524	"MR OCD ROBUST DANTE-ET"	1	"DANTE          "	2011-01-29	"ROYLANE SOCRA ROBUST-ET       "	90	7.5	84	3.11	89	28404	3.8	1076	A	2016-04-05	GUSA	66	42	0.52	90	0.34	-0.07	-1.18	-0.14	NULL	66	42	-1.37	-1.27	-1.07	0.94	0.1	-0.19	0.54	0.09	-0.9	0.33	0.14	1.68	1.55	0.77	-0.55	-0.1	0.8	-0.71	2016-04-05	6.9	NULL	391	91	5.8	92	73	327	105	81	7.4	G	G	76	67	40	73	5.4	G	Y	NULL	NULL	NULL	531462	"135     "	3.1	1115	81	NULL	2016-04-05	NA	**	HO	USA	000064966739	HO	840	003004202172	HO	USA	000060597003	HO	USA	000069021128	507HO11524	"          "	"          "	HO	NULL	NULL	99	100	G	G	1.9	171
JE	USA	000067139406	14JE00574	"PEARLMONT PLUS DENNIS         "	1	"DENNIS         "	2010-11-16	"SWEETIE PLUS IATOLAS BOLD"	90	0.6	80	3.07	90	21419	4.6	980	I	2016-04-05	GUSA	128	48	0.3	92	2.1	0	NULL	NULL	NULL	128	48	1.6	-0.6	0	1	0.3	-0.2	0.2	0	0	NULL	-0.7	0.4	0.3	0.6	0	0.5	NULL	-0.2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	231	"456,561 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000067129272	JE	USA	000116341860	JE	USA	000113008443	"  "	"   "	"            "	614JE00574	"          "	"          "	JE	1.23	-0.41	30	100	NULL	NULL	NULL	NULL
HO	USA	000063685788	514HO06009	"PINE-TREE RAMOS MAINSTAY-ET"	0	"MAINSTAY       "	2007-12-17	RAMOS	93	3.2	89	2.74	93	26276	3.8	986	I	2016-04-05	GUSA	134	78	1.12	94	1.58	0.96	-0.4	-0.21	90	136	78	0.22	-1.16	-0.67	0.8	-1.7	-1.18	0.22	0.6	0.66	1.42	1.81	1.92	1.77	0.66	2.09	0.49	0.36	-1.02	2016-04-05	7	NULL	669	95	6.2	414	83	590	174	86	7.5	G	G	328	183	86	82	5.8	G	Y	NULL	NULL	NULL	156	561	NULL	NULL	NULL	NULL	2016-04-05	"I "	99	HO	DEU	000000253642	HO	USA	000061588725	HO	DEU	000341037501	HO	840	003004222429	514HO06009	614HO06009	"          "	HO	NULL	NULL	27	100	G	G	0	2
HO	USA	000064632190	514HO06047	"LARS-ACRES FELICES FAVRE-ET"	0	"FAVRE          "	2008-02-17	"END-ROAD PVF BOLIVER-ET       "	94	1.7	89	2.88	95	28084	3.7	1031	A	2016-04-05	GUSA	174	94	2.25	95	1.91	1.73	2.07	2.35	NULL	175	94	2.23	1.83	2.14	1.92	-0.49	1.79	0.24	2.02	1.37	2.1	2.33	2.19	2.01	2.88	1.93	1.85	2.14	-0.08	2016-04-05	7.7	NULL	6158	99	6.8	586	88	5332	622	97	7	G	G	551	393	136	89	5.4	G	Y	NULL	NULL	NULL	234	"234,345 "	3.1	21832	99	NULL	2016-04-05	NA	**	HO	USA	000123586443	HO	USA	000132824873	HO	USA	000002250783	HO	840	003004518143	514HO06047	614HO06047	"          "	HO	NULL	NULL	30	100	G	G	-1.6	18
HO	USA	000134422312	7HO08190	"GEN-MARK STMATIC SANCHEZ"	0	"SANCHEZ        "	2003-04-18	"COMESTAR STORMATIC-ET"	99	-0.6	99	3.2	99	27540	3.6	986	A	2016-04-05	GUSA	30472	9323	2.01	99	1.12	1.85	2.24	2.35	35	30840	9380	2.62	1.85	2.05	1.99	0.74	1.58	-0.67	2.42	1.78	1.85	1.76	2.3	2.12	0.68	0.91	-0.3	-1.18	2.79	2016-04-05	8.5	NULL	60857	99	6.7	16609	99	58733	8557	99	8	G	G	15214	22658	6152	99	7	G	Y	NULL	NULL	NULL	246135	"561,126 "	-1.5	28064	99	NULL	2016-04-05	NA	**	HO	CAN	000006947936	HO	USA	000131652910	HO	USA	000002290977	"  "	"   "	"            "	507HO08190	"          "	"          "	HO	NULL	NULL	06	46	G	G	-2.9	-32
JE	USA	000067261691	14JE00542	"VALLEY OAKS JEVONS THRILLER"	0	"THRILLER       "	2008-11-30	"FOREST GLEN MECCAS JEVON-ET   "	92	0.6	86	3	92	20558	4.7	965	I	2016-04-05	GUSA	91	37	-0.1	90	-19.3	0	NULL	NULL	NULL	91	37	-0.9	0.2	0	1.1	-0.4	-0.1	0.4	0	-0.5	NULL	-1.2	0	0	0	-3.1	-0.7	NULL	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	156	"456,561 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000112797481	JE	USA	000067037976	JE	USA	000111023978	"  "	"   "	"            "	"          "	"          "	"          "	JE	-19.05	-8.95	25	100	NULL	NULL	NULL	NULL
JE	USA	000117461259	14JE00582	"SUN VALLEY RENEGADE HARDWOOD-ET"	0	"HARDWOOD       "	2010-11-08	"BW RENEGADE-ET"	89	2.8	79	2.88	89	22151	4.6	1012	A	2016-04-05	GUSA	102	41	0.4	90	7.4	0	NULL	NULL	NULL	102	41	0.4	0.3	0	0.1	0.9	0.1	-0.1	0	0.7	NULL	1.1	1.1	0.8	-0.4	0.3	0.2	NULL	-0.6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	243	"561,126 "	NULL	NULL	NULL	NULL	2016-04-05	"  "	HR	JE	USA	000115883929	JE	USA	000114592073	JE	DNK	000000301592	"  "	"   "	"            "	"          "	"          "	"          "	JE	7.27	3.96	50	100	NULL	NULL	NULL	NULL
